adult,child
"So there's this car that runs on water, man.",car
I could hurt you.,hurt
Let grandma open which one she wants!,grandma
It takes bath everyday in it.,bath
A bird on the roof!,bird
You want a cup of coffee?,cup
put the baby in the house .,baby
Close your eyes and point.,eyes
unfavourable a light or--as for instance the German historian,light
You're sitting in my chair.,chair
what's in the kitchen ?,kitchen
In the car.,car
- let me guess -- that's me in the box.,box
Hey wait.,wait
I don't want your help.,help
a duck !,duck
Only a small flower changes the course of humanity,flower
and this ball could break that window .,ball
[Cat hisses],cat
this is our table .,table
gentle would you like some apple ?,apple
There you can see the er  box.,box
Bad dog!,dog
the baby's bed .,baby
okay throw it to mommy .,mommy
"Today, it is a place of extraordinary serenity.",today
The car!,car
should we put them back in the box ?,box
meow meow meow .,meow
see the box .,box
daddy is gonna make you a scrambled egg for breakfast ?,daddy
he's in the rain .,rain
He'll draw every light from every goon tower.,light
Somebody want a cup of tea?,cup
another book ?,book
Light or dark?,light
okay why don't you sit here and eat your apple .,apple
it's a car isn't it .,car
And that star is Jake Bradley!,star
wait .,wait
do you wanna look for the duck in the picture ?,duck
"- Unfortunately, it couldn't wait.",wait
"And, Daddy will you come back to live with us?",daddy
In my home.,home
"again to-night.""",night
That's not my phone.,phone
Help me:!,help
that's a big book .,book
go head ?,head
I need your help.,help
You can't find your shoe?,shoe
let's put the box up here .,box
Is my baby up there?,baby
where do you want the daddy ?,daddy
that's his ear .,ear
the kitty's hanging off a branch .,kitty
Daddy's doing some business work.,daddy
push him in bye bye !,push
blanket or no blanket .,blanket
What brings you here to me at dead of night?,night
ball .,ball
go get the ball !,ball
BUT NOTHING A BOTTLE OF TEQUILA CAN'T SMOOTH OVER.,bottle
nose !,nose
First the table than the paintings,table
do you want daddy to go get a book ?,daddy
- Get the car.,car
it's mommy's ?,mommy
that's a cow .,cow
a star .,star
`` The night is dark .,night
Gets out his car.,car
[phone rings] [ring],phone
here's the ball !,ball
The eyes on Suzukichi's drawing... are not snake eyes.,eyes
and I  a chair for the,chair
take a bath .,bath
what should mommy do next ?,mommy
- Wait.,wait
see the nose ?,nose
Me tooth's all hurty.,tooth
i'm the bird .,bird
oh hi grandma .,grandma
see the baby in the mommy's tummy ?,baby
put the other bed in the bed room also ?,bed
baby cereal i do as a matter of fact .,baby
mommy .,mommy
-Give me your phone!,phone
"- Maybe you can learn something, Daddy.",daddy
ball .,ball
there's a car .,car
truck .,truck
The sun is so low that it's twilight at midday.,sun
Welcome to the outside of the disease.,outside
You're impossible when you get something in your head!,head
"It draws the eye and it draws the eye up,",eye
"Today, he has a problem with that step.",today
"Uh, we're on radio silence",radio
I think my baby girl is in for a treat tonight.,baby
Get away your foot!,foot
From his endless forever night.,night
Finish what?,finish
mommy wants a chocolate fudge cake .,mommy
no you don't need a blanket .,blanket
Break it down!,break
- Help me up.,help
Where's the synthesising plant?,plant
..a girl with long blonde hair with diamonds in it.,girl
"And the light is night above,",light
Loving eyes.,eyes
"Well, we'll wait.",wait
Here's a doll.,doll
you can pretend your dog is a cat ?,dog
"insinuating a leg over the barrier, feeling meanwhile gingerly for a",leg
Can't help.,help
"Daddy's right here, sweetie.",daddy
"Actually, you should worry about your eyes.",eyes
"(Bird calling, wind whistling)",bird
but without milk .,milk
"""I mean, literally to grab them by the hair",hair
look truck ?,truck
Give me your hand.,hand
yes baby .,baby
i can have a spoon .,spoon
here's another book .,book
"""Candy and Cookie""?",candy
You're not staying in here all night tonight.,night
For the night.,night
do you hear the bird saying tweet ?,bird
does mommy have glasses on .,mommy
that would hurt her .,hurt
the book on the floor .,book
can feed yourself .,feed
and today are you gonna go swimming ?,today
i'm making cereal and toast .,cereal
The car is not going anywhere.,car
Don't talk with your mouth full.,mouth
- How's the diner?,how
kick it !,kick
"- Good night, Dad.",night
do you know who's coming home today ?,today
"All right, sit by the phone.",phone
My girl is the best swimmer on that team.,girl
oh no don't put it in your mouth ?,mouth
you might spill your juice aha ?,juice
hat's what mak es these trips a lot easier.,hat
[heroic rock music plays],rock
go get the book .,book
get new pants for him .,pants
Do you want to go to bed?,bed
I know it's a dog.,dog
- Wait!,wait
A hat?,hat
"-Put it in my car, I'll take it home.",car
good night big barn good night to you .,night
baby's sleeping .,baby
would you use your other hand ?,hand
are you taking your chair off ?,chair
say daddy .,daddy
a hat .,hat
you want the bear ?,bear
but i don't want you putting it into your mouth .,mouth
You can hardly close your mouth!,mouth
you forgot cup for me .,cup
A bird of different feather.,bird
I perceive a young bird in this bush!”,bird
I'll be here to feed you.,feed
okay we'll read a book what do you wanna read .,book
It's so weird seeing myself on a bus like that.,bus
"Baby, are you okay?",baby
BE HOME LATER.,home
- Hair?,hair
to mommy and daddy .,mommy
mommy can't wait literally .,mommy
"Daddy, how long do you get off at half term?",daddy
it's a truck .,truck
- Hand me some of that.,hand
that's a truck that picks things up .,truck
(car door closes),car
"I hope you get eye cancer, Dixon.",eye
just a second and i'll help you .,help
red like an apple ?,apple
"- Hi, Alex.",hi
how about looking at the book ?,book
What do you mean a little girl?,girl
I could help you.,help
we need to buy some bird food .,bird
nursie daddy that's another joke .,daddy
he's pushing the baby around now ?,baby
- Hi.,hi
don't wear it on my head .,head
"- Good night, Mrs. Higgins.",night
♪ With wide-open eyes,eyes
- Shoot them in the head.,head
It's a bird feeder.,bird
in my mouth ?,mouth
and the spoon .,spoon
okay daddy is gonna stop telling you story ?,daddy
_Sing-Sing Prison._,sing
We're having a going-away party.,away
look look under the flower !,flower
- (baby screams) - (Liszt groans),baby
is that the moon .,moon
"Will keep, but from the couch in fury spring,",couch
She could see a light in Una Meredith 's window .,light
mommy i want .,mommy
is this a bird ?,bird
-Then give me your phone.,phone
Eight sixty please.,please
- Night night.,night
- We should... we should head up.,head
brown nose .,nose
- Have another cup!,cup
you know the sun is nice,sun
"You go in there, and you find a phone.",phone
"Catch you a cup of coffee, Sheriff?",cup
that's a sick plant .,plant
You call this a chair!,chair
The night before?,night
I'm gonna need that kiss.,kiss
[AVERY] Put something in her mouth.,mouth
no apple .,apple
bear !,bear
the cat says that to little bear ?,cat
where are you pink hat ?,hat
that's kinda like a ball .,ball
"Make yourself at home, Buck.",home
that's a girl .,girl
okay good night ?,night
A light?,light
Today's question is:,today
"Hey, wait!",wait
we have to keep the ball on though .,ball
"- Hi, Molly.",hi
the baby kangaroo rides in mother's pouch .,baby
what does the duck say ?,duck
there's the big ball .,ball
dog pen ?,dog
- That little girl?,girl
no on your whole hand .,hand
find a bed room .,bed
"Here, on this chair.",chair
"Come on, jump!",jump
good girl .,girl
"- Well, we need you with a clear head.",head
well why don't we read your elmo book ?,book
My mommy...,mommy
Show her how to chamber the kick.,kick
is that the blanket you want .,blanket
and we want mommy to make it move .,mommy
Yeah. (phone ringing) Hold on.,phone
Just a cat.,cat
And I never re-read an old book.,book
is it the left leg or the right?,leg
"""Where's the car? Bring the car down!""",car
Please don't hurt me.,hurt
why don't you say hello to grandma ?,grandma
"escape the eye of Bill Dawson.""",eye
"Get real, Grandma.",grandma
yeah apple .,apple
Your grandma's dead four times.,grandma
here let's put this over your eyes .,eyes
just like mommy's watch .,mommy
- The cat belongs to Adalind.,cat
And a hand and a ring I know.,hand
put them on that chair .,chair
- Wait.,wait
"- Come on, one last push, JC.",push
ah could be in mommy and daddy's room actually .,mommy
cat !,cat
What'll you do with your hair?,hair
big bear is reading !,bear
A night in the limehouse!,night
Look out for that truck.,truck
We have to realize that we are in the same boat.,boat
milk huh ?,milk
oh yes mommy's grating cheese !,mommy
I'll put the dog in the shed!,dog
-Hey. if I hurt him.,hurt
what's inside the truck ?,truck
- What are you doing with his hat?,hat
Today is a victory ...,today
You can never help her.,help
What's up with the coat?,coat
your ball .,ball
where's some toast for nathaniel ?,toast
mommy's pointing ?,mommy
yeah that's candy .,candy
Just make yourself at home.,home
you want this phone .,phone
car .,car
a boat ?,boat
where's a girl ?,girl
Today not life...,today
he's under the table .,table
"Shut your eyes, Marion.",eyes
why don't you sweep the kitchen .,kitchen
one foot in the sleepy suit ?,foot
- I'm on the phone.,phone
Take your phone back.,phone
"Strange phone calls, you.",phone
oh look your little fish are on the floor with flounder .,fish
no i think you can use that spoon .,spoon
Help each other.,help
want to put the duck in the forest .,duck
"- Oh, Hi, Howard.",hi
can you say mommy i'm eating leave me alone ?,mommy
"one chair, and himself into another.",chair
hm the light is up here on top of his head .,light
"Where are you going, Daddy?",daddy
"""HI SWEETIE, MEETING WITH THE LAWYER TONIGHT.",hi
you what me to help you .,help
yeah today i promise today .,today
what do you do with a car ?,car
`` Now tell about the girl .,girl
oh this is a fun book !,book
red block !,block
Good night.,night
my bed is too little .,bed
"That doesn't sound like you, Kitty.",kitty
i'm gonna get in this truck ?,truck
"Don't hurt me, please!",hurt
"Yeah, it's the same girl.",girl
she's tipping the chair off the table .,chair
you sing .,sing
"Okay, just get the hat, Greg.",hat
- Hi.,hi
- Stop walking around on your leg.,leg
Do you want a chair?,chair
are the bird children gonna walk on the bridge .,bird
"Get me a chair, will you?",chair
no i want milk .,milk
that's girl .,girl
oh are you gonna sit on daddy's leg ?,daddy
a truck .,truck
today ?,today
you like cookie .,cookie
whose nose is daddy blowing ?,nose
How's the hair?,hair
May her bed above be aisy ! '',bed
"- Sing it moodily, sing it with...",sing
baby ?,baby
can you pick out a book for him ?,book
good girl ?,girl
Hey little girl...,girl
This is gonna be harder than writing the book.,book
see the ball .,ball
Head down.,head
- Can I help you?,help
Girl talk.,girl
yes where's that pink hat .,hat
I won't enter the flower show.,flower
- I'm here to help you.,help
no use your spoon .,spoon
Whose dog is it?,dog
Are you go are you gonna get me a spoon?,spoon
I ca n't stay all night .,night
Let's go to bed.,bed
who's on the phone hello ?,phone
Just around the block.,block
You know today's my first day at Betty's Bees?,today
"awesome. bye, baby.",baby
daddy's gonna wake you up ?,daddy
huh a lion .,lion
get that out of your mouth kalie .,mouth
i have to go bed and go to sleep .,bed
Oh tough break.,break
Go have a bath Matt!,bath
good night babies .,night
Not break them.,break
bottle bank somewhere.,bottle
Keep an eye on Sir Daniel ; he is unsure .,eye
You can't take the car.,car
"No, grandma.",grandma
normally a dog can well it's bristly isn't it?,dog
would you like some milk ?,milk
She sleeps with me every night.,night
"- Baby, just use my phone.",baby
Although what's on the bed is nice mattresses.,bed
don't hurt your tooth ?,tooth
daddy is busy doing stuff weener .,daddy
poor mommy .,mommy
You're milk.,milk
kiss ?,kiss
Where's the keys?,keys
he's under the car fixing it .,car
that's a car too .,car
"Well, the sun's going to come out",sun
[ Mouth full ] 'Splay of 'fection.,mouth
"Wait, you're in my head, right?",head
Are you taking the baby out in the rain?,baby
"BELIEVE ME, I KNOW A LITTLE SOMETHING ABOUT THIS.",me
that's the girl ?,girl
okay the car's going to in the garage .,car
hand it to me .,hand
how many doll ?,doll
1.8 foot for shoulders.,foot
